	vclaim	title
45	A man who was either the organizer of the 2017 white nationalist rally in Charlottesville, Virginia or the driver of the car that ran down protesters, killing one, is a Democrat who was photographed meeting President Obama in the Oval Office.	Was White Supremacist Who Killed Protester a Democrat Who Visited Obama in Oval Office?
46	A medical examiner's conclusion that Health and Human Services drug pricing adviser Daniel Best died of multiple blunt force injuries contradicts the official ruling that he committed suicide.	Was HHS Drug Pricing Czar Daniel Best’s Death Ruled a Suicide Despite Evidence of Foul Play?
47	A new housing project is being built in West Virginia that will house 321 Syrian refugees at taxpayer expense while displacing Americans currently living there.	Is West Virginia Building a ‘Sharia Zone’ Housing Project for Syrian Refugees?
48	"A pedophilia group put up a sign reading ""Pedophiles are People Too"" near a school in Oregon."	Was a ‘Pedophiles Are People Too’ Notice Posted Near an Oregon School?
49	A photograph captures Rep. Elise Stefanik flipping off the camera at the conclusion of a House impeachment inquiry.	Is This a Picture of Elise Stefanik Flipping the Bird at an Impeachment Inquiry?
50	A photograph captures a couple kissing amidst the 1971 May Day protests.	Does This Photograph Show a Couple Kissing During the 1971 May Day Protests?
51	A photograph depicts an elderly homeless couple sleeping on the concrete in California.	Is This an ‘Elderly Homeless Couple’ in California?
52	A photograph documents a cache of wedding rings removed from Holocaust victims.	Does This Photo Show Wedding Rings Taken from Holocaust Victims?
53	A photograph documents that a portion of Interstate 40 in North Carolina was completely underwater after Hurricane Florence.	Does This Photograph Show a Stretch of I-40 in North Carolina Underwater?
54	A photograph of President Donald Trump in the White House Situation Room during a military raid in Syria was staged after the fact.	Was a Photo of Trump in the White House Situation Room Staged?
55	A photograph of U. S. President Donald Trump and first lady Melania Trump shows them with a baby who was orphaned by the August 2019 El Paso, Texas, mass shooting.	Did Trump Pose With a ‘Thumbs-Up’ Next to a Baby Orphaned in the El Paso Massacre?
56	A photograph of a migrant mother and her children fleeing a tear gas attack near a border crossing was staged.	Was the ‘Illegal Alien Mom with Kids’ Photograph Staged?
57	A photograph published in December 2019 showed a boy forced to sleep on a hospital floor in Leeds, England, due to overcrowding.	Does This Photo Show a Boy Forced to Sleep on the Floor of an English Hospital?
58	A photograph shared on social media in June 2019 showed former Vice President Joe Biden with the Grand Wizard of the Ku Klux Klan.	Does This Photo Show Joe Biden with the ‘Grand Wizard of the KKK’?
59	"A photograph shared on social media in mid-2019 shows a ""skinhead"" police officer with a ""right-wing militia"" tattoo."	Does This Photo Show ‘Skinhead Cop with a Right-Wing Militia Tattoo’ Arresting a Jewish Protester?
60	A photograph shared widely on social media in July 2019 shows former U.S. Secretary of Labor Alex Acosta and his family.	Is This a  Real Photograph of Alex Acosta’s Family?
61	A photograph shows American neo-Nazis performing a Nazi salute in front of a burning swastika in Draketown, Georgia, in 2018.	Does This Photograph Show Neo-Nazis Posing Under a Burning Swastika in Draketown, Georgia?
62	A photograph shows Hillary Clinton shaking hands with Ramadan Abedi, the father of Manchester bomber Salman Abedi.	Did Hillary Clinton Meet With the Manchester Bomber’s Father?
63	A photograph shows President Trump holding crib notes during a listening session with survivors of the Parkland, Florida, school shooting.	Did Trump Use ‘Crib Notes’ During Listening Session with Parkland Survivors?
64	A photograph shows U.S. President Bill Clinton with billionaire/financier and convicted sex offender Jeffrey Epstein.	Is This Bill Clinton with Jeffrey Epstein?
65	A photograph shows U.S. President Donald Trump standing next to a manipulated version of the presidential seal.	Did Trump Deliver a Speech Next to an Altered Presidential Seal?
66	A photograph shows a blood-stained Quran found after the March 2019 Christchurch mass shootings.	Does This Photograph Show a Blood-Stained Quran from the Christchurch, NZ, Attack?
67	A photograph shows a flooded runway at Northwest Florida Beaches International Airport during Hurricane Michael in October 2018.	Is This a Photograph of a Florida Airport Flooded During Hurricane Michael?
68	A photograph shows a giant ammonite fossil from southeastern British Columbia.	Is This Giant Fossil Real?
69	A photograph shows a group of deported U.S. veterans in the Mexican border city of Ciudad Juárez.	Does This Photograph Show a Group of Deported U.S. Veterans?
70	A photograph shows a man giving Mitch McConnell a thumbs-down from the voting booth.	Did a Man Photobomb Mitch McConnell With a Thumbs-Down Gesture While They Voted?
71	"A photograph shows a man standing on a street corner holding a large sign that reads ""Homeless Niggers Go Back to Africa."""	Is This a Real Photograph of a Man Holding a ‘Homeless N*****s Go Back to Africa’ Sign?
72	A photograph shows a massive audience attending a Donald Trump rally in Panama City, Florida.	Huge Crowd at Trump Rally in Panama City, Florida
73	A photograph shows a meal served by the Red Cross to victims of a hurricane in Texas.	Did the Red Cross Serve This Meal to Hurricane Victims?
74	A photograph shows a mountain that closely resembles a frozen elephant.	Is This Mountain Cliff Shaped Like an Elephant?
75	A photograph shows a pagoda flower that only blooms once every 400 years in the Himalayas.	Is This a Pagoda Flower That Only Blooms Once Every 400 Years?
76	A photograph shows actor James Earl Jones dressed as Darth Vader alongside 'Star Wars' stars Mark Hamill, Anthony Daniels, and Kenny Baker.	Is This James Earl Jones Dressed as Darth Vader?
77	"A photograph shows an African child on display in a ""human zoo"" at the 1958 World's Fair in Brussels, Belgium."	Is This a Photograph of a ‘Human Zoo’ at the 1958 World’s Fair?
78	A photograph shows an advertisement for Smirnoff vodka containing an apparent dig at President Trump.	Did Smirnoff Troll President Trump in a Vodka Advertisement?
79	A photograph shows an electric car charging in 1905.	Is this Really an Electric Car From 1905?
80	A photograph shows an elephant carrying a lion cub.	Is This a Photograph of an Elephant Carrying a Lion Cub?
81	A photograph shows an optical illusion on the floor of a school hallway that was designed to prevent children from running.	Was This Hallway Designed to Prevent Children from Running?
82	A photograph shows columns of tanks taking part in President John Kennedy's inaugural parade.	Did JFK’s Inaugural Parade Include Columns of Tanks?
83	A photograph shows five people atop a skyscraper spire.	Is This a Photo of 5 People Atop a Skyscraper Spire?
84	A photograph shows former U.S. President Barack Obama shaking hands with Iranian President Hassan Rouhani.	Is This a Real Photo of Obama Shaking Hands with Iranian President Rouhani?
85	A photograph shows four female defense ministers from Norway, Sweden, Netherlands and Germany and a male defense minister from Russia.	Are These the Defense Ministers of Norway, Sweden, Netherlands, Germany and Russia?
86	"A photograph shows pro-choice activists carrying a sign that reads ""Parasites don't have rights."""	Did Pro-Choice Protesters Carry a Sign That Likened Fetuses to ‘Parasites’?
87	"A photograph shows three U.S. soldiers in Syria ""crying and visibly shaken saying they could stop this in 10 minutes but Trump won’t let them."""	Are These US Soldiers in Syria Crying and Complaining About Trump?
88	"A photograph shows two men wearing ""I'd Rather Be a Russian Than a Democrat"" shirts at a rally for President Trump."	Are These ‘I’d Rather Be a Russian Than a Democrat’ Shirts Real?
89	A photographer used sixteen cameras and waited 62 days to capture an image of the full moon above a sunset.	Sun and Full Moon Between Two Trees?
90	A picture depicts a paralyzed man's groomsmen holding him up so he could marry his bride.	Does a Picture Depict Groomsmen Supporting a Paralyzed Man at His Wedding?
91	A plaque displayed on a golf course owned by President Trump commemorates a Civil War battle that never happened.	Did a Trump Golf Course Commemorate a Civil War Battle That Never Happened?
92	A portion of money from every Bang Energy purchase goes toward funding U.S. President Donald Trump's 2020 re-election efforts.	Does a Portion of Each Bang Energy Sale Go Toward Trump’s Campaign?
93	A postal worker was caught destroying absentee ballots with Trump votes in the swing state of Ohio.	Postal Worker Caught Destroying Absentee Trump Ballots in Major Swing State
94	A prankster changed the name of Trump Tower to Dump Tower in Google Maps briefly on 26 November 2016.	Trump Tower Name Changed to ‘Dump Tower’ In Google Maps
95	A psychiatrist said U.S. President Donald Trump may be responsible for millions more deaths than Hitler, Stalin, and Mao.	Did a Psychiatrist Say Trump May Cause More Deaths Than Hitler, Stalin, and Mao?
96	A sealed indictment has been granted against President Donald Trump.	Has a ‘Sealed Indictment’ Been Issued Against President Trump?
97	"A second Broward County sheriff’s deputy died suspiciously after ""exposing"" the mass school shooting in Parkland, Florida."	Did a Second Broward County Sheriff’s Deputy Die After ‘Exposing’ the Parkland Shooting?
98	"A set of ""before-and-after"" pictures shows a penny that shrank after it was put in a microwave."	Will Putting a Penny in a Microwave Cause the Coin to Shrink?
99	A sign posted on a public beach by the city of Melbourne, Australia tells visitors to refrain from consuming of pork and alcohol and to be respectful during Islamic prayer times.	Does a ‘Multicultural Beach’ Sign in Melbourne Prohibit Pork and Alcohol?
100	"A so-called ""Church of Lucifer"" has opened in Colombia."	Did a Church of Lucifer Open in Colombia?
101	A special astronomical property allows brooms to be stood on end during particular days of the year.	Does ‘Gravitational Pull’ Allow Brooms to Stand on End on Certain Days?
102	A student with a concealed handgun stopped a mass stabbing at the University of Texas.	Did a Student with a Concealed Handgun Stop a Mass Stabbing at a Texas College?
103	A study discovered men's beards are alarmingly riddled with fecal microbes.	Did a Study Find Men’s Beards Are Full of Fecal Matter?
104	A supporter of U.S. Rep. Alexandria Ocasio-Cortez suggested eating babies to combat climate change at a town hall event.	Did an AOC Supporter Suggest ‘Eating Babies’ to Fight Climate Change?
105	A temporary memorial at the U.S. Capitol displays a pair of empty shoes to illustrate the 7,000 children killed by guns since the December 2012 Sandy Hook Elementary School shooting.	Does an ‘Empty Shoes’ Memorial in Washington, D.C. Represent 7,000 Children Killed by Guns Since Sandy Hook?
106	"A tweet from U.S. President Donald Trump attacking the press echoes a passage from Hitler's ""Mein Kampf."""	Does This Trump Tweet Echo ‘Mein Kampf’?
107	A video depicts angry Muslims in a Western mall tearing down a Christmas tree because it offended them.	Did ‘Offended Muslims’ Attack a Christmas Tree?
108	A video documents that Planned Parenthood harvested the brain from a living, late-term aborted fetus.	Did Planned Parenthood Harvest the Brain from a Living, Late-Term Fetus?
109	A video of President Donald Trump apparently struggling to get the words right while singing along with the national anthem proves that he doesn't know what they are.	Does Donald Trump Not Know the Words to the National Anthem?
110	A video shared widely on social media in July 2019 shows a fire in a car caused by perfume or air freshener ignited by a cigarette lighter.	Does a Video Show a Car Fire Caused by Perfume and Air Conditioning?
111	A video shows 300 children who were found frozen alive for purposes of organ harvesting.	Were 300 Children Found Frozen Alive for Organ Harvesting?
112	A video shows 5 million bikers on their way to Washington D.C. to demand an end to the Russia investigation.	Are 5 Million Bikers Heading to D.C. to Demand an End to the Russia Investigation?
113	"A video shows Democrats, referred to as an ""angry left-wing mob"" by President Trump, committing various acts of violence."	Does This Video Show the ‘Left-Wing Mob’ Committing Acts of Violence?
114	A video shows Eminem's daughter Hailie rapping.	Does This Video Show Eminem’s Daughter Rapping?
115	A video shows Hurricane Dorian approaching Florida in summer 2019.	Is This a Video of Hurricane Dorian Approaching Florida?
116	A video shows Londoners expressing support for the US President, following a June 2017 terrorist attack in the city	Did Londoners Chant in Support of Donald Trump in the Aftermath of a Terrorist Attack?
117	A video shows Nancy Pelosi drunkenly slurring her speech during an event in May 2019.	Does This Video Show Nancy Pelosi Drunk and Slurring Her Speech?
118	A video shows Palestinian lawmakers dancing in response to Nikki Haley's threat to cut aid to the country in the wake of a controversial decision to move the U.S. embassy to Jerusalem.	Did Palestinians Dance at the UN After Nikki Haley Threatened to Cut Aid?
119	A video shows Paul George's jersey number changing from 13 to 14 after he performed a 360 dunk.	Did Paul George’s Jersey Number Change After He Executed a 360 Dunk?
120	A video shows President Obama agreeing with President Trump on immigration policy.	Did This Video Show Obama Agreeing with the Trump Administration on Immigration Policies?
121	A video shows Queen Elizabeth riding with Meghan Markle's rescued beagle Guy to the royal wedding.	Did Meghan Markle’s Dog Accompany Queen Elizabeth to the Royal Wedding?
122	A video shows U.S. President Donald Trump being rushed off stage after someone yelled that model Chrissy Teigen was in the audience.	Was Trump Rushed Off Stage After Someone Yelled ‘Chrissy Teigen’s Here’?
123	A video shows U.S. President Donald Trump removing his hat and revealing that he's bald.	Is This a Video of President Trump Without His Toupee?
124	A video shows U.S. Rep. Ilhan Omar dancing on the anniversary of 9/11.	No, Rep. Ilhan Omar Was Not Filmed Dancing on 9/11 Anniversary
125	"A video shows a ""failed terrorist attack"" in Algiers involving an airplane and a gasoline tanker truck."	Did a Plane Narrowly Avoid a Fuel Tanker During a Failed Terrorist Attempt?
126	"A video shows a ""fake"" Melania Trump standing next to the president."	Is This Melania Trump’s Body Double?
127	A video shows a German newscaster laughing at President Trump's statements at a NATO summit.	Is This How German News Covered President Trump at the NATO Summit?
128	"A video shows a crowd of people in the UK chanting ""We Love Trump"" in June 2019."	Is This a Video of UK Trump Supporters from June 2019?
129	A video shows a driver getting into a car crash during a Facebook live stream.	Does the ‘Don’t Stream and Drive’ Video Show a Real Car Crash?
130	A video shows a false eyebrow falling off the face of Canadian prime minister Justin Trudeau at the G7 Summit.	Did Justin Trudeau’s Eyebrow Fall Off at the G7 Summit?
131	"A video shows a grandparent gifting a copy of ""Mein Kampf"" to a grandchild who requested Minecraft for Christmas."	Did This ‘Minecraft’ for ‘Mein Kampf’ Verbal Mix-Up Really Happen?
132	A video shows a group of camels swimming through the sea.	Camels Crossing the Sea?
133	A video shows a group of people in Honduras being paid by George Soros to join a migrant caravan and storm the United States border.	Did George Soros Pay Refugees in Honduras to Join a Caravan and Storm the US Border?
134	A video shows a huge detonation in Afghanistan in April 2017.	Was This Huge Explosion Caused by the ‘MOAB’ in Afghanistan?
135	A video shows a little girl calling President Trump 'a disgrace to the world.'	Did a Little Girl Call President Trump a ‘Disgrace to the World’?
136	A video shows a motorcyclist evading police by jumping over a train track.	Does This Video Show a Motorcyclist Evading Police by Jumping Over a Train Track?
137	A video shows a real animal called the shoebill stork.	Is the Shoebill Stork a Real Animal?
138	"A video shows a woman pushing a priest off a stage after he said, ""Fat women cannot go to heaven."""	Was a Priest Pushed off Stage for Saying ‘Fat Women Cannot Go to Heaven?’
139	A video shows an augmented reality (AR) dragon flying over a baseball stadium.	Did an AR Dragon Fly Over a Baseball Stadium?
140	A video shows piles of garbage left behind after U.S. President Donald Trump's June 2019 rally in Orlando, Fla.	Did Trump Supporters Leave Trash Behind After ’45 Fest’?
141	A video shows protesters in Hong Kong using wearable projectors to foil facial recognition technology.	Does a Video Show Hong Kong Protesters Using Wearable Projectors to Avoid Facial Recognition?
142	A video shows six Antifa members beating up an individual during an August 2018 alt-right protest in Washington D.C.	Does This Video Show Six Antifa Members Beating Up a Person During an August 2018 Rally?
143	A video shows students beating a classmate on a school bus because he was wearing a Trump presidential campaign hat.	Does a Video Show Students Beating a Classmate for Wearing a MAGA Hat?
144	A video shows the U.S.-ordered drone strike that killed Iran Gen. Qassem Soleimani.	Does This Video Show the Drone Strike That Killed Soleimani?
145	A video shows the liquid from a can of BANG Energy bursting into flames.	Are BANG Energy Drinks Flammable?
146	A video shows the moment at which an amusement park ride in India collapsed in July 2019.	Is This Video of a Theme Park Ride in India Collapsing?
147	A video shows two black men being arrested while waiting for a friend at a Starbucks.	Were Two Black Men Arrested for Waiting at a Starbucks?
148	A vintage photograph shows members of the Nazi League of Socialist Woman.	Does This Photo Show White-Clad Members of the League of Nazi Socialist Women?
149	"A viral photograph posted in June 2018 shows ""the whole of London"" protesting on the streets in defense of jailed far-right activist Tommy Robinson."	Did ‘the Whole of London’ Protest in Support of Far-Right Activist Tommy Robinson?
150	A viral screenshot shows a Fox News contributor debating the 'War on Christmas' while other news networks reported on Michael Cohen's guilty pleas.	Did Fox News Discuss the ‘War on Christmas’ While Other Networks Covered Michael Cohen’s Guilty Pleas?
151	A viral video shows George Lopez urinating on President Donald Trump's star on the Hollywood Walk of Fame in July 2018.	Did Comedian George Lopez Urinate on Donald Trump’s Hollywood Star?
152	A vote to impeach U.S. President Andrew Johnson was held just three days after the offending action.	Was U.S. President Andrew Johnson Impeached in 3 Days?
153	A widely shared image is an authentic photograph that shows a Hanukkah menorah displayed in the home of a Jewish family in Nazi Germany in 1932.	Does a Photo Show a Menorah Displayed in Defiance of Nazism?
154	A woman was attacked in Hollywood because she was wearing a pro-Donald Trump hat.	Was a Woman Attacked on Camera for Wearing a ‘Make America Great Again’ Hat in Hollywood?
155	A young woman named Allisyn Nicole is missing.	Is Allisyn Nicole Still Missing?
156	ABC News mistakenly aired a video from a Kentucky gun range during its coverage of Turkey's attack on northern Syria in October 2019.	Did ABC Mistakenly Label a Video from a US Gun Range as Syrian War Footage?
157	ABC, CBS, NBC, MSNBC, NPR, PBS all refused to cover abortionist who kept 2,246 aborted babies.	Did Mainstream Media Outlets ‘Refuse’ to Cover Abortion Doctor Ulrich Klopfer?
158	ALDI offers free food to homeless people at their stores after 4 PM on Christmas Eve.	Is ALDI Offering Homeless People Free Food on Christmas Eve?
159	Actor Bill Murray said in order to teach children about taxes, eat their ice cream.	Did Bill Murray Recommend Eating Children’s Ice Cream to Teach About Taxes?
160	Actor Danny Trejo has passed away at age 74.	Danny Trejo Death Hoax
161	"Actor Jeff Goldblum has a food truck called ""Chef Goldblum's."""	Does Actor Jeff Goldblum Have a Food Truck Called ‘Chef Goldblum’s’?
162	"Actor Samuel L. Jackson tweeted a lament about overpaid ""modern mumble"" rap artists and underpaid teachers."	Did Samuel L. Jackson Tweet About Overpaid ‘Modern Mumble Rappers’ and Teachers’ Pay?
163	"Actor Tom Arnold has  unused footage from ""The Apprentice"" that captures racist utterances from Donald Trump."	Tom Arnold Reports Having ‘Racist Recordings’ of Donald Trump
164	Actor Tom Cruise released a video announcing that he was running for U.S. president in 2020.	Is Tom Cruise Running for President?
165	Actress Miranda Cosgrove was arrested for prostitution in July 2017.	Miranda Cosgrove Arrested for Prostitution?
166	Adam Saleh was ejected from a Delta flight for speaking Arabic.	Delta Ejects Passenger for Speaking Arabic
167	Adam Schiff used taxpayer money to silence a man who accused him of sexual harassment.	Did Adam Schiff Use Taxpayer Money to Settle a Sexual Harassment Claim in 2013?
168	Adam Schiff's sister Melissa was married to George Soros's son, Robert.	Was Adam Schiff’s Sister Married to George Soros’s Son?
169	"After releasing a music video in which he fires a prank ""Bang!"" flag gun at a clown resembling Donald Trump, rapper Snoop Dogg was arrested for conspiracy by the Secret Service for suggesting that ""someone should do what I did with a real gun."""	Snoop Dogg Arrested for Conspiracy After Talking About ‘Murder Trump’ Video?
170	"After the 2019 El Paso shooting, President Trump deleted tweets that referred to immigrants as ""invaders."""	Did President Trump Delete Tweets That Referred to Immigrants as “Invaders”?
171	Alabama legalized incestual marriages between brothers and sisters and uncles and nieces.	Did Alabama Bless ‘Incest’ Marriages Between Brothers and Sisters, Uncles and Nieces?
172	"Albert Einstein said: ""We are slowed down sound and light waves, a walking bundle of frequencies tuned into the cosmos. We are souls dressed up in sacred biochemical garments and our bodies are the instruments through which our souls play their music."""	Did Albert Einstein Say ‘We Are Slowed-Down Sound and Light Waves’?
173	"All ""Obama phones"" will be cut off after 31 December 2016."	Obamaphones to Be Cut Off
174	All of the drivers arrested in 282 traffic stops in Polk County, Iowa, were African-American.	Did African-American Drivers Comprise 100% of the Traffic Arrests in Polk County, Iowa?
175	"Amazon's Alexa randomly plays a ""creepy laugh."""	Is Amazon’s Alexa Creepily Laughing for No Apparent Reason?
176	Amazon's use of the USPS for package delivery services has resulted in a severe financial loss to the Postal Service.	Is Amazon Bankrupting the United States Postal Service?
177	American political consultant Roger Stone has a tattoo of Richard Nixon on his back.	Does Roger Stone Have a Tattoo of Richard Nixon on His Back?
178	Americans crashed Canada's immigration web site immediately after Donald Trump was elected.	Canada’s Immigration Web Site Crashed After 2016 U.S. Election?
179	"Americans eliminated unnecessary letters from the British spellings of words such as ""cancelled"" and ""colour"" because U.S. newspapers charged by the letter for advertising."	Why Is It ‘Cancelled’ in the UK, But ‘Canceled’ in America?
180	"An ""elderly man"" was beaten while trying to protect a sundress-wearing man from being attacked."	Was an ‘Elderly Man’ Beaten While Trying to Help a ‘Man in a Sundress’ in Portland?
181	"An African Union Travel Advisory warned Africans heading for the U.S. about ""continued instability"" in America."	African Union Issues ‘Travel Advisory’ for U.S.
182	An Alabama woman claimed the Washington Post tried to pay her to come forward and make accusations of sexual abuse against Roy Moore.	Did a Woman Say the Washington Post Offered Her $1,000 to Accuse Roy Moore of Sexual Abuse?
183	An Antifa group in Melbourne, Australia claimed responsibility for the September 2017 Las Vegas massacre.	Did ‘Melbourne Antifa’ Claim Responsibility for the Vegas Massacre?
184	An Image depicts a five-year-old Syrian girl in handcuffs at Dulles Airport.	Does a Photograph Depict a 5-Year-Old Syrian Girl Handcuffed at Dulles Airport?
185	An Image depicts a five-year-old Syrian girl in handcuffs at Dulles Airport. 	Does a Photograph Depict a 5-Year-Old Syrian Girl Handcuffed at Dulles Airport?
186	"An Instagram account linked to suspected shooter Nikolas Cruz featured an avatar that included a ""MAGA"" hat."	Did the Florida Shooter’s Instagram Profile Picture Feature a ‘MAGA’ Hat?
187	An MSNBC crew blocked a handicapped parking space outside a polling station in Houston, preventing a disabled U.S. Air Force veteran from voting.	Did an MSNBC Crew Prevent a Disabled Veteran from Voting by Blocking a Handicapped Parking Spot?
188	An October 2018 Craigslist ad solicited paid attendees to President Trump's rally in Erie, Pennsylvania.	Did a Craigslist Ad Solicit Paid Attendees to Donald Trump’s Rally in Erie, Pennsylvania?
189	An airliner was saved by a pickup truck after its landing gear malfunctioned.	Plane with Landing Gear Failure Saved by Truck?
190	"An angry mob in Saudi Arabia beheaded ""Sophia,"" a robot recently awarded citizenship."	Did Saudi Arabia Behead Its First Robot Citizen?
